date	index_val	source	cpi	daily	food	housing	energy
2008-07-01	100.6435	FOOD	0	0	1	0	0
2008-10-01	101.5324	FOOD	0	0	1	0	0
2009-01-01	101.1948	FOOD	0	0	1	0	0
2009-04-01	99.72024	FOOD	0	0	1	0	0
2009-07-01	98.95869	FOOD	0	0	1	0	0
2009-10-01	98.80673	FOOD	0	0	1	0	0
2010-01-01	99.78973	FOOD	0	0	1	0	0
2010-04-01	99.90495	FOOD	0	0	1	0	0
2010-07-01	99.89073	FOOD	0	0	1	0	0
2010-10-01	100.4146	FOOD	0	0	1	0	0
2011-01-01	102.6533	FOOD	0	0	1	0	0
2011-04-01	104.2734	FOOD	0	0	1	0	0
2011-07-01	105.788	FOOD	0	0	1	0	0
2011-10-01	106.4944	FOOD	0	0	1	0	0
2012-01-01	107.2201	FOOD	0	0	1	0	0
2012-04-01	107.2953	FOOD	0	0	1	0	0
2012-07-01	107.2775	FOOD	0	0	1	0	0
2012-10-01	107.7444	FOOD	0	0	1	0	0
2013-01-01	108.4236	FOOD	0	0	1	0	0
2013-04-01	108.2434	FOOD	0	0	1	0	0
2013-07-01	108.3595	FOOD	0	0	1	0	0
2013-10-01	108.3941	FOOD	0	0	1	0	0
2014-01-01	109.4109	FOOD	0	0	1	0	0
2014-04-01	110.6945	FOOD	0	0	1	0	0
2014-07-01	111.5234	FOOD	0	0	1	0	0
2014-10-01	112.1462	FOOD	0	0	1	0	0
2015-01-01	112.3722	FOOD	0	0	1	0	0
2015-04-01	111.7854	FOOD	0	0	1	0	0
2015-07-01	112.4577	FOOD	0	0	1	0	0
2008-07-01	99.86735	HOUSING	0	0	0	1	0
2008-10-01	99.66862	HOUSING	0	0	0	1	0
2009-01-01	100.2573	HOUSING	0	0	0	1	0
2009-04-01	100.677	HOUSING	0	0	0	1	0
2009-07-01	100.6939	HOUSING	0	0	0	1	0
2009-10-01	100.0738	HOUSING	0	0	0	1	0
2010-01-01	99.85022	HOUSING	0	0	0	1	0
2010-04-01	99.92569	HOUSING	0	0	0	1	0
2010-07-01	100.0766	HOUSING	0	0	0	1	0
2010-10-01	100.1475	HOUSING	0	0	0	1	0
2011-01-01	100.6017	HOUSING	0	0	0	1	0
2011-04-01	100.9972	HOUSING	0	0	0	1	0
2011-07-01	101.6332	HOUSING	0	0	0	1	0
2011-10-01	101.9988	HOUSING	0	0	0	1	0
2012-01-01	102.6456	HOUSING	0	0	0	1	0
2012-04-01	103.2406	HOUSING	0	0	0	1	0
2012-07-01	103.7896	HOUSING	0	0	0	1	0
2012-10-01	104.2713	HOUSING	0	0	0	1	0
2013-01-01	104.925	HOUSING	0	0	0	1	0
2013-04-01	105.5752	HOUSING	0	0	0	1	0
2013-07-01	106.2406	HOUSING	0	0	0	1	0
2013-10-01	106.7857	HOUSING	0	0	0	1	0
2014-01-01	107.672	HOUSING	0	0	0	1	0
2014-04-01	108.519	HOUSING	0	0	0	1	0
2014-07-01	109.3115	HOUSING	0	0	0	1	0
2014-10-01	109.937	HOUSING	0	0	0	1	0
2015-01-01	110.8325	HOUSING	0	0	0	1	0
2015-04-01	111.7336	HOUSING	0	0	0	1	0
2015-07-01	112.7447	HOUSING	0	0	0	1	0
2008-07-01	126.9236	ENERGY	0	0	0	0	1
2008-10-01	93.42789	ENERGY	0	0	0	0	1
2009-01-01	83.67928	ENERGY	0	0	0	0	1
2009-04-01	90.17478	ENERGY	0	0	0	0	1
2009-07-01	96.0282	ENERGY	0	0	0	0	1
2009-10-01	95.45643	ENERGY	0	0	0	0	1
2010-01-01	98.12926	ENERGY	0	0	0	0	1
2010-04-01	100.7335	ENERGY	0	0	0	0	1
2010-07-01	100.1089	ENERGY	0	0	0	0	1
2010-10-01	101.0283	ENERGY	0	0	0	0	1
2011-01-01	109.1898	ENERGY	0	0	0	0	1
2011-04-01	121.0758	ENERGY	0	0	0	0	1
2011-07-01	118.9959	ENERGY	0	0	0	0	1
2011-10-01	112.1435	ENERGY	0	0	0	0	1
2012-01-01	115.5841	ENERGY	0	0	0	0	1
2012-04-01	118.2648	ENERGY	0	0	0	0	1
2012-07-01	117.6974	ENERGY	0	0	0	0	1
2012-10-01	113.9663	ENERGY	0	0	0	0	1
2013-01-01	115.4471	ENERGY	0	0	0	0	1
2013-04-01	117.3621	ENERGY	0	0	0	0	1
2013-07-01	118.2151	ENERGY	0	0	0	0	1
2013-10-01	111.3274	ENERGY	0	0	0	0	1
2014-01-01	115.4155	ENERGY	0	0	0	0	1
2014-04-01	121.1572	ENERGY	0	0	0	0	1
2014-07-01	119.1674	ENERGY	0	0	0	0	1
2014-10-01	105.0488	ENERGY	0	0	0	0	1
2015-01-01	93.63125	ENERGY	0	0	0	0	1
2015-04-01	100.7187	ENERGY	0	0	0	0	1
2015-07-01	100.0621	ENERGY	0	0	0	0	1
