date,pricestats,bls_food,bls_energy,bls_housing,bls_agg
2008-07-01,100,100.6435,126.9236,99.86735,100
2008-10-01,99.196548,101.5324,93.42789,99.66862,99.985382
2009-01-01,96.882568,101.1948,83.67928,100.2573,96.075684
2009-04-01,97.431824,99.72024,90.17478,100.677,97.209518
2009-07-01,97.388573,98.95869,96.0282,100.6939,98.573219
2009-10-01,98.243881,98.80673,95.45643,100.0738,98.699364
2010-01-01,98.824158,99.78973,98.12926,99.85022,98.690224
2010-04-01,99.703079,99.90495,100.7335,99.92569,99.4589
2010-07-01,100.2464,99.89073,100.1089,100.0766,99.611542
2010-10-01,100.5533,100.4146,101.0283,100.1475,99.828163
2011-01-01,101.1264,102.6533,109.1898,100.6017,100.16635
2011-04-01,103.0551,104.2734,121.0758,100.9972,102.126
2011-07-01,103.87637,105.788,118.9959,101.6332,103.15656
2011-10-01,104.22867,106.4944,112.1435,101.9988,103.68988
2012-01-01,104.23883,107.2201,115.5841,102.6456,103.1337
2012-04-01,105.24606,107.2953,118.2648,103.2406,104.83376
2012-07-01,105.17854,107.2775,117.6974,103.7896,104.87307
2012-10-01,106.27084,107.7444,113.9663,104.2713,105.75463
2013-01-01,105.96455,108.4236,115.4471,104.925,104.92928
2013-04-01,107.33321,108.2434,117.3621,105.5752,106.37891
2013-07-01,107.82799,108.3595,118.2151,106.2406,106.71298
2013-10-01,108.20396,108.3941,111.3274,106.7857,107.00774
2014-01-01,109.18228,109.4109,115.4155,107.672,106.50504
2014-04-01,109.95443,110.6945,121.1572,108.519,107.98757
2014-07-01,110.6692,111.5234,119.1674,109.3115,108.92444
2014-10-01,110.61529,112.1462,105.0488,109.937,108.78185
2015-01-01,108.22409,112.3722,93.63125,110.8325,107.31075
2015-04-01,108.68061,111.7854,100.7187,111.7336,107.90806
2015-07-01,109.89627,112.4577,100.0621,112.7447,109.05926
